"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
36,Tue  02 May 2023 17:50:32 +0000,"20230502.1749.001","Surface PAR","start","NaN","NaN","NaN"," 41.511238"," -70.669702",,"tCrockford1",,"hrs2303HS","20230502.1749.001","20230502.1321","2023/05/02 13:20:51","2023-05-02T13:21:00+00:00",
37,Tue  02 May 2023 17:52:01 +0000,"20230502.1750.001","Ship","other","NaN","NaN","NaN"," 41.494485"," -70.677222",,"tCrockford1","drop keel","hrs2303HS","20230502.1750.001","20230502.1339","2023/05/02 13:38:51","2023-05-02T13:39:00+00:00",
38,Tue  02 May 2023 19:44:19 +0000,"20230502.1944.001","Underwater PAR","recover","NaN","L1","PAR01"," 41.197935"," -70.885802",,"tCrockford1","CTD02; PAR data acq very slow rate on this cast recast at this station with faster rate","hrs2303HS","20230502.1944.001","20230502.1944","2023/05/02 19:44:22","2023-05-02T19:44:19+00:00"," & Thu May  4 09:27:44 2023"
39,Tue  02 May 2023 19:45:06 +0000,"20230502.1944.002","SUNAV2","sync time","NaN","NaN","NaN"," 41.197902"," -70.885847",,"tCrockford1","0 sec off. Did not sync. Held time from Apr 29 sync. Prior to C2","hrs2303HS","20230502.1944.002","20230502.1945","2023/05/02 19:45:05","2023-05-02T19:45:06+00:00",
40,Tue  02 May 2023 19:46:00 +0000,"20230502.1945.001","SUNAV2","sync time","NaN","NaN","NaN"," 41.319552"," -70.571698",,"tCrockford1","1 sec off. Sync prior to C1","hrs2303HS","20230502.1945.001","20230429.1000","2023/04/29 09:59:52","2023-04-29T10:00:00+00:00",
41,Tue  02 May 2023 19:46:32 +0000,"20230502.1946.001","SUNAV2","onCTD","NaN","NaN","NaN"," 41.320103"," -70.595938",,"tCrockford1",,"hrs2303HS","20230502.1946.001","20230429.0930","2023/04/29 09:29:52","2023-04-29T09:30:00+00:00",
42,Tue  02 May 2023 19:47:48 +0000,"20230502.1947.001","Sting Ray","UVP6","NaN","NaN","NaN"," 41.319552"," -70.571698",,"tCrockford1","On for start of cruise. Plan to remain on unless a problem occurs","hrs2303HS","20230502.1947.001","20230429.1000","2023/04/29 09:59:52","2023-04-29T10:00:00+00:00",
43,Tue  02 May 2023 19:49:07 +0000,"20230502.1947.002","Sting Ray","SUNAV2","NaN","NaN","NaN"," 41.319552"," -70.571698",,"tCrockford1","On for start of cruise. Should remain on","hrs2303HS","20230502.1947.002","20230429.1000","2023/04/29 09:59:52","2023-04-29T10:00:00+00:00",
44,Tue  02 May 2023 19:52:13 +0000,"20230502.1950.001","Underwater PAR","deploy","NaN","L1","PAR02"," 41.198072"," -70.885952",,"tCrockford1","CTD02; PAR recast at this station with faster data acq rate","hrs2303HS","20230502.1950.001","20230502.1952","2023/05/02 19:52:07","2023-05-02T19:52:13+00:00"," & Thu May  4 09:28:42 2023 & Thu May  4 09:29:54 2023"
45,Tue  02 May 2023 19:53:55 +0000,"20230502.1953.001","Underwater PAR","recover","NaN","L1","PAR02"," 41.198282"," -70.885883",,"tCrockford1","CTD02","hrs2303HS","20230502.1953.001","20230502.1953","2023/05/02 19:53:51","2023-05-02T19:53:55+00:00"," & Thu May  4 09:29:23 2023"
46,Tue  02 May 2023 20:05:44 +0000,"20230502.1957.001","CTD911","deploy","NaN","L1","02"," 41.199313"," -70.885095",,"hSosik1",,"hrs2303HS","20230502.1957.001","20230502.2005","2023/05/02 20:05:43","2023-05-02T20:05:44+00:00",
47,Tue  02 May 2023 20:45:00 +0000,"20230502.2043.001","Bongo Net","deploy",,"L1","B02"," 41.199542"," -70.883868",,"aCabanelas1",,"hrs2303HS","20230502.2043.001","20230502.2023","2023/05/02 20:22:52","2023-05-02T20:23:00+00:00"," & Fri May  5 14:21:31 2023"
48,Tue  02 May 2023 20:45:42 +0000,"20230502.2045.001","Bongo Net","recover","NaN","L1","B02"," 41.197212"," -70.884832",,"aCabanelas1",,"hrs2303HS","20230502.2045.001","20230502.2029","2023/05/02 20:28:52","2023-05-02T20:29:00+00:00"," & Fri May  5 14:21:44 2023"
49,Tue  02 May 2023 23:15:23 +0000,"20230502.2314.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 40.919403"," -70.880912",,"aCieza1",,"hrs2303HS","20230502.2314.001","20230502.2315","2023/05/02 23:15:22","2023-05-02T23:15:23+00:00",
50,Tue  02 May 2023 23:53:01 +0000,"20230502.2352.001","Underway Science seawater diaphragm pump","TOI discrete","NaN","NaN","NaN"," 40.852932"," -70.880185",,"aCieza1",,"hrs2303HS","20230502.2352.001","20230502.2353","2023/05/02 23:53:00","2023-05-02T23:53:01+00:00",
51,Wed  03 May 2023 03:18:21 +0000,"20230503.0317.001","Isaacs-Kidd Midwater Trawl","startSample","NaN","L05","01"," 40.512573"," -70.884497",,"aCabanelas1",,"hrs2303HS","20230503.0317.001","20230503.0318","2023/05/03 03:18:22","2023-05-03T03:18:21+00:00"," & Thu May  4 04:33:21 2023 & Fri May  5 15:35:39 2023"
